Process ID,Memory Required,Duration
1,44,12
2,1,9
3,88,11
4,89,4
5,30,5
6,68,14
7,75,9
8,70,14
9,78,8
10,81,6
11,41,1
12,85,2
13,25,11
14,7,4
15,8,7
16,2,1
17,64,1
18,48,15
19,72,8
20,26,8
21,3,4
22,52,3
23,56,4
24,52,16
25,21,10
26,92,2
27,30,12
28,59,3
29,52,13
30,13,7
31,73,10
32,6,8
33,49,6
34,45,11
35,37,7
36,20,2
37,99,7
38,24,13
39,97,10
40,31,15
41,96,16
42,96,13
43,46,3
44,3,3
45,99,16
46,58,4
47,51,11
48,71,6
49,55,4
50,48,16
51,32,13
52,24,1
53,57,11
54,2,5
55,77,12
56,77,14
57,12,12
58,30,12
59,9,10
60,7,1
61,57,14
62,54,11
63,42,15
64,82,6
65,5,1
66,57,10
67,7,8
68,44,5
69,27,14
70,91,5
71,85,11
72,24,16
73,82,9
74,21,3
75,2,12
76,33,14
77,71,6
78,35,1
79,78,5
80,29,12
81,55,5
82,50,1
83,73,8
84,31,3
85,76,8
86,88,14
87,97,14
88,16,11
89,25,7
90,88,6
91,55,15
92,19,11
93,48,5
94,95,5
95,83,6
96,73,13
97,1,6
98,18,5
99,77,14
100,87,6
101,50,14
102,20,1
103,47,9
104,43,4
105,94,10
106,3,14
107,14,5
108,37,14
109,49,1
110,68,10
111,100,10
112,21,7
113,79,11
114,26,11
115,100,15
116,1,14
117,82,13
118,73,11
119,99,8
120,23,7
121,72,9
122,7,13
123,38,7
124,82,10
125,65,5
126,33,11
127,70,7
128,19,4
129,27,13
130,53,7
131,61,8
132,18,15
133,8,2
134,28,14
135,63,12
136,19,11
137,51,5
138,96,5
139,48,5
140,19,15
141,40,2
142,13,1
143,16,15
144,36,12
145,19,8
146,1,10
147,3,8
148,49,9
149,93,5
150,24,11
151,33,8
152,32,16
153,11,2
154,94,10
155,55,9
156,9,8
157,48,8
158,15,10
159,89,4
160,30,10
161,9,9
162,67,13
163,8,7
164,67,14
165,91,7
166,67,11
167,49,6
168,1,9
169,9,10
170,41,5
171,46,11
172,48,5
173,62,9
174,13,12
175,94,9
176,95,3
177,26,14
178,60,1
179,5,15
180,23,1
181,6,8
182,61,10
183,59,5
184,11,9
185,46,7
186,94,4
187,55,4
188,96,1
189,16,11
190,80,14
191,69,4
192,24,6
193,90,5
194,90,10
195,81,6
196,87,14
197,86,7
198,52,6
199,71,12
200,77,7
201,59,15
202,25,2
203,63,10
204,59,4
205,83,7
206,15,12
207,14,7
208,58,1
209,39,5
210,65,12
211,32,6
212,39,10
213,18,13
214,68,13
215,66,16
216,47,5
217,73,5
218,14,14
219,91,8
220,74,16
221,45,2
222,77,2
223,92,16
224,10,11
225,30,9
226,87,1
227,79,7
228,19,5
229,87,9
230,35,4
231,41,10
232,58,10
233,27,9
234,41,14
235,67,5
236,23,5
237,74,14
238,23,3
239,19,5
240,35,5
241,23,6
242,54,1
243,99,11
244,56,11
245,74,9
246,78,4
247,20,8
248,78,10
249,30,12
250,68,5
251,66,4
252,26,3
253,59,9
254,78,12
255,63,10
256,41,6
257,4,16
258,49,15
259,73,4
260,37,14
261,95,15
262,15,15
263,33,10
264,62,2
265,21,7
266,56,12
267,15,6
268,11,3
269,48,16
270,65,14
271,36,10
272,36,10
273,99,16
274,9,2
275,32,9
276,92,9
277,16,8
278,36,5
279,17,13
280,52,15
281,97,6
282,15,6
283,53,5
284,69,2
285,97,4
286,18,5
287,18,15
288,82,10
289,89,10
290,4,3
291,79,10
292,71,16
293,38,9
294,65,3
295,47,12
296,22,16
297,80,1
298,18,4
299,39,16
300,34,2
301,93,1
302,44,4
303,62,13
304,53,16
305,90,9
306,31,15
307,17,12
308,56,15
309,82,15
310,8,3
311,86,6
312,91,7
313,98,16
314,77,13
315,72,15
316,33,11
317,59,3
318,84,6
319,90,5
320,27,16
321,84,14
322,32,6
